CLIENT_VAT;TIMO_ID;AT_KM;CZ_KM;DE_KM;EE_KM;HU_KM;LT_KM;LV_KM;PL_KM;SE_KM;SK_KM;COMPANY_LP;ADRESS_LP;COD_LP;CITY_LP;LATITUDE_LP;LONGTITUDE_LP;START_LOAD_DATA;START_LOAD_TIME;END_LOAD_DATA;END_LOAD_TIME;COMPANY_DP;ADRESS_DP;COD_DP;CITY_DP;LATITUDE_DP;LONGTITUDE_DP;START_DELIVERY_DATA;START_DELIVERY_TIME;END_DELIVERY_DATA;END_DELIVERY_TIME;VEHICLE_TYPE;BODY_TYPE;LOAD_UNLOAD_METHOD;EPALE;GOODS_TYPE;TEMP_MIN;TEMP_MAX;EURO;LDM;M3;HEIGHT;WIDTH;TONS;REQUIREMENTS;OTHER_COSTS;QTY_LOADS;QTY_DELIVERIES;SOURCE;PAYMENT TERM;DOCUMENTS_BY;CARGO_VALUE_EURO;CUSTOMS;TIME_OF_ENTRY
PL5222349705;;;70.20;;;120.40;;;575.10;;269.20;;;HU2220;;;;24.11.2021;;24.11.2021;;;;PL83100;;;;26.11.2021;;26.11.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;700;13.6;;;;5;;;1;1;ADAMEX;45;;;1;
LT355849917;;;102.50;;;;;;578.20;;198.60;;;PL82400;;;;26.11.2021;;26.11.2021;;;;SK90025;;;;30.11.2021;;30.11.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;FERTILIZER;;;900;13.6;;;;24;;;1;1;ADAMEX;45;;;;
PL8971649500;;;231.80;;;202.90;;;;;80.50;;;HU2400;;;;01.12.2021;8:25;01.12.2021;8:25;;;CZ50004;;;;02.12.2021;7:00;02.12.2021;14:00;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;400;13.6;;;;24;;;1;1;ADAMEX;55;;;;
PL6783120981;;;42.70;;;;;;692.20;;;;;CZ51247;;;;02.12.2021;;02.12.2021;15:00;;;PL11040;;;;06.12.2021;;06.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;535;13.6;;;;24;;;1;1;ADAMEX;49;;;;
PL9271282860;;;102.50;;;;;;514.40;;125.50;;;PL12100;;;;13.12.2021;;13.12.2021;;;;SK95641;;;;14.12.2021;;14.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;850;13.6;;;;24;;;1;1;ADAMEX;60;;;;
PL9372706356;;;70.20;;;;;;418.70;;121.90;;;SK97271 ;;;;15.12.2021;7:00;15.12.2021;13:00;;;PL05100;;;;16.12.2021;;16.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;450;13.6;;;;24;;;1;1;ADAMEX;60;;;;
CZ28545401;;;214.30;;;;;;463.00;;;;;PL05804;;;;16.12.2021;8:00;16.12.2021;15:00;;;CZ27201;;;;17.12.2021;7:00;17.12.2021;16:30;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;800;13.6;;;;20;;;1;1;ADAMEX;60;;;;
LV42103074612;;;225.30;;194.50;;269.90;202.30;818.20;;;;;CZ26101;;;;17.12.2021;;17.12.2021;12:00;;;EE10112;;;;20.12.2021;;20.12.2021;;Rigid truck, Articulated truck;Refrigerator, Curtain;BACK;;;;;2400;13.6;;;;10;;;1;1;ADAMEX;45;;;;
PL9231689207;;;;;347.30;;267.40;202.30;619.80;;;;;EE43299;;;;21.12.2021;7:00;17.12.2021;20:00;;;PL63604;;;;27.12.2021;7:00;27.12.2021;16:00;Rigid truck, Articulated truck;Tautliner, Curtain;Side,;;PLATE;;;799.14;13.6;;;;24;;;1;1;ADAMEX;60;;;;
PL5371474657;;;;;;;;;178.30;;;;;PL63600;;;;28.12.2021;;28.12.2021;;;;PL62021;;;;29.12.2021;;29.12.2021;;Rigid truck, Articulated truck;Curtain;Side, Back,;;canned drinks / beer on pallets;;;163.04;13.6;;;;24;;;1;1;ADAMEX;45;;;;
PL9680933964;;;;;;;;;256.20;;;;;PL62510;;;;29.12.2021;;29.12.2021;;;;PL02495;;;;30.12.2021;;30.12.2021;;Articulated truck;Tautliner, Curtain;Side, Back,;;;;;196;13.6;;;;15.75;;;1;2;ADAMEX;60;;;;
DE302502945;;;289.00;;;;;;;;40.20;;;SK90101;;;;30.11.2021;15:30;30.11.2021;15:30;;;CZ25268;;;;01.12.2021;8:00;01.12.2021;8:00;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;520;13.6;;;;24.38;;;1;1;ADAMEX;30;;;;
SK2022096846;;;303.40;;;152.80;;;;;84.60;;;CZ27711;;;;01.12.2021;6:30;01.12.2021;16:00;;;SK94301;;;;02.12.2021;;02.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;624;13.6;;;;24;;;1;1;ADAMEX;30;;;;
PL5833268410;;;70.20;;;16.90;;;614.80;;269.20;;;HU2942;;;;02.12.2021;12:00;02.12.2021;12:00;;;PL17220;;;;06.12.2021;;06.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;770;13.6;;;;24;;;1;1;ADAMEX;60;;;;
PL5060029240;;;70.20;;;;;;614.80;;255.20;;;PL17220;;;;06.12.2021;;06.12.2021;;;;SK93535;;;;08.12.2021;;08.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;FERTILIZER IN BIG BAGS;;;1050;13.6;;;;24;;;1;1;ADAMEX;60;;;;
ATU57970404;;;70.20;;;;;;660.00;;184.40;;;SK92521;;;;08.12.2021;8:00;08.12.2021;13:00;;;PL10413;;;;10.12.2021;6:00;10.12.2021;22:00;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;650;13.6;;;;24;;;1;1;ADAMEX;45;;;;
PL9271282860;;;102.50;;;;;;514.40;;125.50;;;PL12100;;;;10.12.2021;;10.12.2021;;;;SK95641;;;;14.12.2021;;14.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;850;13.6;;;;24;;;1;1;ADAMEX;60;;;;
PL9372706356;;;70.20;;;;;;418.70;;121.90;;;SK97271 ;;;;14.12.2021;7:00;14.12.2021;13:00;;;PL05100;;;;15.12.2021;;15.12.2021;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;450;13.6;;;;24;;;1;1;ADAMEX;60;;;;
LT100001806917;;;;;;;83.00;;327.90;;;;;PL05250;;;;15.12.2021;16:00;15.12.2021;23:59;;;LT53030;;;;16.12.2021;6:00;16.12.2021;22:00;Articulated truck;Curtain ;Side, Back,;;;;;600;13.6;;;;21.615;;;1;1;ADAMEX;45;;;;
LT100004917814;;;;;;;83.40;;670.50;;;;;LT53216;;;;17.12.2021;8:00;17.12.2021;22:00;;;PL32005;;;;20.12.2021;0:00;20.12.2021;0:00;Articulated truck;Tautliner, Refrigerator, Isotherm, Curtain;BACK;;Empty bottles;;;350;13.6;;;;24;;;1;1;ADAMEX;30;;;;
PL9482439347;;;39.00;;;;;;152.30;;287.50;;;PL30001;;;;20.12.2021;0:01;20.12.2021;23:00;;;SK94501;;;;21.12.2021;8:00;21.12.2021;12:00;Articulated truck;Tautliner, Curtain;Side, Back, Top;;SHEET, STEEL;;;650;13.6;;;;24;;;1;1;ADAMEX;55;;;;
PL7550008714;;;;;;;;;408.00;;;;;PL47200;;;;23.12.2021;12:00;23.12.2021;18:00;;;PL05170;;;;24.12.2021;;24.12.2021;;Articulated truck;Curtain ;BACK;;;;;237.58;13.6;;;;13;;;1;1;ADAMEX;60;;;;
PL9571045101;;;197.20;;;;;;480.70;;11.20;;;PL07401;;;;03.01.2022;;03.01.2022;;;;SK90701;;;;04.01.2022;;04.01.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;PAPER;;;650;13.6;;;;24;;;1;1;ADAMEX;55;;;;
PL1230959072;;;38.40;;;;;;641.40;;229.90;;;SK82412;;;;05.01.2022;;05.01.2022;;;;PL14100;;;;10.01.2022;;10.01.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;800;13.6;;;;24;;;2;2;ADAMEX;30;;;;
PL5342491222;;;39.00;;;119.70;;;525.20;;250.00;;;PL13100;;;;10.01.2022;;10.01.2022;;;;HU9431;;;;12.01.2022;;12.01.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;991.19;13.6;;;;24;;;1;1;ADAMEX;45;;;;
PL5361925259;;184.70;230.20;;;6.40;;;53.90;;;;;HU9400;;;;12.01.2022;12:00;12.01.2022;12:00;;;PL44100;;;;13.01.2022;;13.01.2022;;ARTICULATED TRUCK;CURTAIN;Side, Back,;;Feed on pallets;;;320;13.6;;;;24.23;;;1;1;ADAMEX;60;;;;
LT263047314;;;;;;;185.60;;632.00;;;;;PL46200;;;;14.01.2022;;14.01.2022;;;;LT14025;;;;17.01.2022;;17.01.2022;;ARTICULATED TRUCK;TAUTLINER;TOP;;STEEL;;;770;13.6;;;;24;;;1;1;ADAMEX;45;;;;
LT100001806917;;;;;;169.90;169.40;;739.70;;156.50;;;LT25121;;;;17.01.2022;;17.01.2022;;;;HU4400;;;;19.01.2022;;19.01.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;PET raw materials;;;1100;13.6;;;;1.523;;;1;1;ADAMEX;60;;;;
LT100001806917;;;;;;;187.70;;686.00;;133.00;;;SK04454;;;;19.01.2022;14:00;19.01.2022;14:00;;;LT02300;;;;21.01.2022;;21.01.2022;;ARTICULATED TRUCK;TAUTLINER;TOP;;STEEL;;;800;13.6;;;;22.44;;;1;1;ADAMEX;60;;;;
LT100010918815;;;;;;;169.40;;667.80;;;;;LT25121;;;;21.01.2022;;21.01.2022;;;;PL32004;;;;24.01.2022;;24.01.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;500;13.6;;;;21;;;1;1;ADAMEX;45;;;;
PL5851356886;;;;;178.70;;269.90;202.30;724.70;;;;;PL32800;;;;26.01.2022;12:00;26.01.2022;12:00;;;EE75501;;;;28.01.2022;;28.01.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;1270;13.6;;;;2.54357;;;1;1;ADAMEX;30;;;;
PL8281384076;;;;;;281.80;;;473.50;;343.40;;;PL07200;;;;03.01.2021;7:00;03.01.2021;7:00;;;HU6000;;;;05.01.2021;;05.01.2021;12:00;Articulated truck;Tautliner, Curtain;Side, Back,;0;;;;1200;13.6;;;;24;;;1;4;ADAMEX;55;;;;
PL7342981074;;;235.40;;;203.50;;;;;80.40;;;HU2400;;;;05.01.2021;;05.01.2021;;;;CZ50004;;;;06.01.2021;;06.01.2021;;Articulated truck;Tautliner, Curtain;Side, Back, Top;;;;;380;13.6;;;;24;;;1;1;ADAMEX;60;;;;
LT100008738715;;;196.90;;;;187.70;;707.00;;;;;CZ57001;;;;07.01.2021;8:00;07.01.2021;14:00;;;LT02300;;;;10.01.2021;;10.01.2021;;Articulated truck;Tautliner, Curtain;Side, Back,;;;;;900;13.6;;;;20;;;1;1;ADAMEX;45;;;;
LT100003124013;;;38.40;;;149.90;;;284.20;;289.00;;;HU2400;;;;12.01.2021;13:30;12.01.2021;13:30;;;PL97225;;;;14.01.2021;;14.01.2021;16:00;Articulated truck;Tautliner, Curtain;Side, Back,;;PAPER;;;420;13.6;;;;24;;;1;1;ADAMEX;60;;;;
LT263047314;;;;;;;191.50;;486.60;;;;;PL26200;;;;14.01.2021;;14.01.2021;;;;LT02300;;;;17.01.2021;;17.01.2021;;Articulated truck;TAUTLINER;Side,;;construction goods;;;600;13.6;;;;24;;;1;1;ADAMEX;45;;;;
LT100009194219;;;39.00;;;;160.40;;724.10;;234.10;;;LT17251;;;;17.01.2021;;17.01.2021;;;;SK97401;;;;18.01.2021;;20.01.2021;;Articulated truck;Tautliner, Curtain;Side, Back,;;;;;950;13.6;;;;23;;;1;1;ADAMEX;45;;;;
PL9950253022;;;;;;;;;113.20;;121.30;;;SK03401;;;;18.01.2021;;18.01.2021;14:30;;;PL40312;;;;19.01.2021;;19.01.2021;;Articulated truck;TAUTLINER;Side, Back, Top;;CRANE ELEMENTS;;;300;13.6;;;;24;;;1;1;ADAMEX;60;;;;
LT100001806917;;;;;;;108.00;;731.90;;;;;PL32650;;;;19.01.2021;;19.01.2021;;;;LT52114;;;;24.01.2021;;24.01.2021;;Articulated truck;Tautliner, Curtain;Side, Back,;;CONTENERS;;;670;13.6;;;;23.408;;;1;1;ADAMEX;60;;;;
LT100002123413;;;191.50;;;;134.30;;702.30;;170.50;;;LT55111;;;;24.01.2021;;24.01.2021;;;;SK94621;;;;26.01.2021;;26.01.2021;;Articulated truck;Tautliner, Curtain;TOP;;;;;1000;13.6;;;;24;;;1;1;ADAMEX;45;;;;
PL6372193748;;;38.40;;;;;;91.20;;171.50;;;SK92028;;;;26.01.2021;;26.01.2021;;;;PL41709;;;;27.01.2021;;27.01.2021;;Articulated truck;Tautliner, Curtain;Side, Back,;;;;;250;13.6;;;;24;;;1;1;ADAMEX;60;;;;
PL7971808429;;;;;;;;;439.50;;;;;PL32566 ;;;;27.01.2021;7:30;27.01.2021;15:00;;;PL06100 ;;;;28.01.2021;;28.01.2021;;Articulated truck;Tautliner, Curtain;Side,;;FERTILIZER;;;315.9;13.6;;;;24;;;1;1;ADAMEX;45;;;;
LT451301917;;;303.90;;77.30;;267.40;202.30;819.30;;;;;EE85004;;;;28.01.2022;;28.01.2022;;;;CZ37401;;;;01.02.2022;;01.02.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;1250;13.6;;;;24;;;1;1;ADAMEX;30;;;;
PL9482439347;;;349.10;;;;;;54.70;;;;;CZ39111;;;;01.02.2022;;01.02.2022;;;;PL44141;;;;02.02.2022;;02.02.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;PET'S FOOD;;;300;13.6;;;;21.45;;;1;1;ADAMEX;55;;;;
PL7792202294;;;;;;;289.70;92.60;672.50;;;;;PL41600;;;;02.02.2022;;02.02.2022;;;;LV3851;;;;04.02.2022;;04.02.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back, Top;;STEEL;;;1050;13.6;;;;24;;;1;1;ADAMEX;45;;;;
PL5862253658;;;;;;;300.50;44.00;333.50;;;;;LV3851;;;;07.02.2022;;07.02.2022;;;;PL13324;;;;07.02.2022;;07.02.2022;;ARTICULATED TRUCK;TAUTLINER;Side, Back,;;WOOD IN BIG BAGS ON PALLETS;;;500;13.6;;;;24;;;1;1;ADAMEX;60;;;;
LT100005503410;;;;;;;202.40;;285.40;;;;;PL11015;;;;09.02.2022;;09.02.2022;;;;LT35101;;;;10.02.2022;;10.02.2022;;ARTICULATED TRUCK;TAUTLINER;Side, Back,;;GRANULES;;;510;13.6;;;;24;;;1;1;ADAMEX;40;;;;
LT332636917;;;;;;;244.20;;686.20;;285.20;;;LT40334;;;;10.02.2022;7:45;10.02.2022;18:00;;;SK98542;;;;14.02.2022;6:00;14.02.2022;13:00;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;1200;13.6;;;;24;;;1;1;ADAMEX;35;;;;
SK2020124535;;;39.00;;;;;;287.00;;210.70;;;SK96096;;;;14.02.2022;7:00;14.02.2022;22:00;;;PL26340;;;;15.02.2022;7:00;15.02.2022;16:00;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;WOOD ON PALLETS;;;310;13.6;;;;24;;;1;1;ADAMEX;50;;;;
PL8862937424;;;241.30;;;;;;258.20;;42.80;;;PL97225;;;;15.02.2022;8:00;15.02.2022;21:00;;;SK90055;;;;16.02.2022;8:00;16.02.2022;15:00;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;BUILDING MATERIALS ON PALLETS;;;630;13.6;;;;24;;;1;1;ADAMEX;55;;;;
ATU15379800;;;222.70;;;;;;;;42.60;;;SK90055;;;;16.02.2022;6:00;16.02.2022;15:00;;;CZ53009;;;;17.02.2022;;17.02.2022;;ARTICULATED TRUCK;Box, Jumbo, Refrigerator, Curtain ;Side, Back,;;FURNITURE PARTS;;;330;13.6;;;;15;;;1;2;ADAMEX;60;;;;
EE101403098;;;75.30;;194.20;;269.90;202.30;818.20;;;;;CZ53301;;;;17.02.2022;;17.02.2022;;;;EE75306;;;;22.02.2022;;22.02.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;1350;13.6;;;;24;;;1;1;ADAMEX;35;MAIL;;;
EE100836598;;;;;201.20;;267.40;202.30;740.40;;;;;EE46107;;;;22.02.2022;;22.02.2022;;;;PL59230;;;;24.02.2022;;24.02.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;780;13.6;;;;24;;;1;1;ADAMEX;45;MAIL;;;
LV40103183374;;;;;;;269.90;99.40;715.40;;;;;PL55080;;;;24.02.2022;;24.02.2022;;;;LV1024;;;;28.02.2022;;28.02.2022;;ARTICULATED TRUCK;Tautliner, Curtain;Side, Back,;;;;;970;13.6;;;;6;;;1;1;ADAMEX;45;POST;;;
;;;;;;;269.90;90.70;326.60;;;;;PL06430;;;;14.02.2021;;14.02.2021;;;;LV2130;;;;15.02.2021;;15.02.2021;;Articulated truck;Tautliner, Curtain;BACK;;;;;720;13.2;;;;5;;;1;1;ADAMEX;45;;;;
LV40103190484;;;267.40;;;;;85.90;666.40;;;;;LV1035;;;;15.02.2021;12:00;15.02.2021;15:30;;;PL33100;;;;16.02.2021;7:00;16.02.2021;12:00;Articulated truck;Tautliner, Curtain;TOP;;STEEL;;;750;13.6;;;;24;;;1;1;ADAMEX;35;;;;
LT100001806917;;;;;;;202.10;;712.40;;;;;PL34650;;;;18.02.2021;8:00;18.02.2021;16:00;;;LT02121;;;;21.02.2021;;21.02.2021;;Articulated truck;Tautliner;Side, Back,;;;;;820;13.6;;;;24;;;1;1;ADAMEX;60;MAIL;;;
LT100006985910;;;63.70;;;;186.60;;707.20;;;;;LT02300;;;;22.02.2021;;22.02.2021;;;;CZ74221;;;;23.02.2021;;23.02.2021;;Articulated truck;Tautliner;Side, Back,;;STEEL;;;690;13.6;;;;24;;;1;1;ADAMEX;35;POST;;;
CZ27704891;;;413.00;;;;;;;;;;;CZ70702;;;;23.02.2021;;23.02.2021;;;;CZ26101;;;;24.02.2021;;24.02.2021;;Articulated truck;Curtain;TOP;;STEEL;;;500;13.6;;;;25;;;1;1;ADAMEX;60;POST;;;
CZ27573672;;;285.80;;;;72.50;;818.20;;;;;CZ37842;;;;25.02.2021;11:00;25.02.2021;14:00;;;LT62175;;;;28.02.2021;8:00;28.02.2021;13:00;Articulated truck;Tautliner;Side, Back,;;TEXTILL ROLLS;;;950;13.6;;;;11.5;;;1;1;ADAMEX;45;POST;;;
CZ25365860;;;450.10;;;;;;136.50;;;;;CZ70200;Ostrava;;;28.03.2021;;31.03.2021;;;;CZ36301;;;;01.04.2021;;01.04.2021;;Articulated truck;Curtain;Side, Back,;;;;;800;13.6;;;;24;;;1;1;TIMO;;;;;23.03.2022 11:25:21
SK1038952717;;;262.60;;238.50;;268.00;202.30;761.50;;81.80;;;CZ69002;Břeclav;;;29.03.2021;8:00;29.03.2021;8:00;;;EE74610;Kuusalu;;;30.03.2021;8:00;30.03.2021;8:00;Articulated truck;Tipper;TOP;;;;;1800;13.6;;;;24;;;1;1;TIMO;14;;;;
HU11167734;144925;;342.90;;;437.40;;;;;80.50;;;CZ41201;Litoměřice;;;31.03.2021;7:30;31.03.2021;14:00;;;HU4030;Debrecen;;;01.04.2021;;01.04.2021;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;1000;13.6;;;;23.7;;;1;1;TIMO;;;;;25.03.2022 08:05:23
DE272669000;282775;;381.00;626.20;;385.30;;;;;80.50;;;DE26826;Weener;;;28.03.2021;7:00;28.03.2021;20:00;;;HU7636;Pecs;;;30.03.2021;8:00;30.03.2021;15:00;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;1650;13.6;;;;24;;;1;1;TIMO;;;;;25.03.2022 15:03:13
DE813322555;23432;;;628.40;;;;;;1417.00;;;;DE41844;Wegberg;;;31.03.2021;8:00;31.03.2021;;;;SE93136;;;;04.04.2022;8:00;04.04.2022;13:00;Rigid truck;Curtain;TOP;;machinery and parts;;;4300;13.6;;;;24;;-384.83;1;1;TIMO;;;;;25.03.2022 16:08:41
CZ25349406;67233;329.70;6.70;148.60;;426.90;;;;;;;;HU4026;Debrecen;;;30.03.2022;8:00;30.03.2022;13:00;;;CZ34401;;;;31.03.2022;8:00;31.03.2022;14:00;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;830;13.6;;;;8;;;1;1;TIMO;;;;;25.03.2022 08:03:49
ATU68155809;242460;144.70;366.70;547.50;;249.50;;;;;;;;HU7400;Kaposvar;;;29.03.2022;;30.03.2022;;;;DE26122;;;;31.03.2022;;01.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;34;;;;1450;13.6;;;;24;;;1;1;TIMO;;;;;
;112728;;;;;536.30;;;;;;;;HU9700;Szombathely;;;25.03.2022;;28.03.2022;;;;HU4800;;;;28.03.2022;;29.03.2022;;Articulated truck;Curtain;Side, Back,;;;;;384.83;13.6;;;;24;;;1;1;TIMO;;;;;24.03.2022 08:11:05
PL7831682017;309435;187.40;253.70;;;16.20;;;547.50;;;;;HU9721;Gencsapáti;;;26.03.2022;;26.03.2022;;;;PL95006;Czarnocin;;;28.03.2022;;28.03.2022;;Articulated truck;Curtain;Side, Back,;;;;;600;13.6;;;;24;;;1;1;TIMO;;;;;25.03.2022 14:56:59
LT100002147314;320991;;354.40;327.60;;;288.60;;844.30;;;;;LT30240;Kazitiškis;;;24.03.2022;;28.03.2022;;;;DE87474;Buchenberg;;;28.03.2022;;30.03.2021;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;1900;13.6;;;;24;;;1;1;TIMO;;;;;24.03.2022 14:52:24
HU14211461;363356;;;;;274.10;;;629.60;;156.50;;;PL16100;Sokolka;;;25.03.2022;;31.03.2022;;;;HU6060;Tiszakécske;;;27.03.2022;;04.04.2022;;Rigid truck, Articulated truck;Curtain;TOP;;;;;1400;13.6;;;;24;;;1;1;TIMO;;;;;25.03.2022 09:36:10
CZ9204113699;336568;;61.20;460.80;;;;;;1017.30;;;;SE85232;Sundsvall;;;28.03.2022;;07.04.2022;;;;CZ40502;Děčín;;;31.03.2022;;12.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;1400;13.6;;;;24;;-384.83;1;1;TIMO;;;;;25.03.2022 13:56:31
LT100009574613;397098;;;309.50;;;;;;1159.30;;;;SE93531;Norsjö;;;28.03.2022;;31.03.2022;;;;DE49134;Wallenhorst;;;28.03.2022;;31.03.2022;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;1850;13.6;;;;24;;-776.5;1;1;TIMO;;;;;25.03.2022 09:18:56
SK2120128318;;;;;;430.80;;;;;100.90;;;SK08501;Bardejov;;;29.03.2022;;30.03.2022;;;;HU8492;Kerta;;;30.03.2022;;31.03.2022;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;850;13.6;;;;24;;;1;1;TIMO;;;;;28.03.2022 09:02:22
LT100006332114;207099;;197.90;;;;;;590.30;93.80;32.30;;;SK90501;Senica;;;30.03.2022;;31.03.2022;;;;SE19561;Arlandastad;;;04.04.2022;;05.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;2150;13.6;;;;24;;;1;1;TIMO;;;;;28.03.2022 09:24:20
LT100006332114;207099;;;;214.10;;269.90;202.30;762.20;;377.30;;;SK96501;Ladomerská Vieska;;;30.03.2022;;30.03.2022;;;;EE74117;Maardu;;;04.04.2022;;04.04.2022;;Rigid truck, Articulated truck;Jumbo, Mega, Refrigerator, Curtain;Side, Back,;;;;;1400;13.6;;;;24;;;1;1;TIMO;;;;;24.03.2022 07:07:29
SK2023699128;251166;324.70;;503.60;;;;;;;334.60;;;SK04918;Göllheim;;;29.03.2022;;31.03.2022;;;;DE67307;Göllheim;;;31.03.2022;;04.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;1500;13.6;;;;24;;;1;1;TIMO;;;;;28.03.2022 11:47:44
LT100006332114;207099;;;;139.30;;;;;442.30;;;;SE53530;Kvänum;;;28.03.2022;;30.03.2022;;;;EE88311;Pärnu;;;30.03.2022;;30.03.2022;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;600;13.6;;;;25.7;;-570.97;1;1;TIMO;;;;;28.03.2022 12:23:17
LT100009223014;388871;183.80;331.30;470.60;;11.60;;;;927.70;;;;SE82531;;;;28.03.2022;;01.04.2022;;;;HU9400;;;;31.03.2022;;07.04.2022;;Rigid truck, Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;;;;2000;13.6;;;;24;;-384.83;1;1;TIMO;;;;;28.03.2022 08:57:44
SE556777585201;385903;;;;;;299.10;;;354.00;;;;SE60228;Norrköping;;;29.03.2022;;31.03.2022;;;;LT02248;Vilnius (Paneriai);;;31.03.2022;;31.03.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;600;13.6;;;;24;Waste carrier licence;;1;1;TIMO;;;;;29.03.2022 13:58:43
SK2120389568;319894;;191.50;;;;;;590.60;58.20;110.40;;;SE11153;;;;28.03.2022;;01.04.2022;;;;SK90301;;;;01.04.2022;;03.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;2200;13.6;;;;24;Waste carrier licence;-840.09;1;1;TIMO;;;;;25.03.2022 08:32:27
LV40103720641;382809;;;;204.20;;;140.50;;514.60;;;;SE84694;;;;29.03.2022;;01.04.2022;;;;LV2150;;;;01.04.2022;;04.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;750;13.6;;;;24;;-662.07;1;1;TIMO;;;;;29.03.2022 16:52:12
LV40103190484;310207;;;503.90;;;289.40;154.30;811.00;;;;;LV5725;;;;01.04.2022;;05.04.2022;;;;DE59269;;;;05.04.2022;;09.04.2022;;Articulated truck;Tautliner, Curtain;Side,;;;;;1700;13.6;;;;24;;;1;1;TIMO;;;;;31.03.2022 14:08:35
EE101923620;317269;;;;204.30;;;119.00;;;;;;LV1050;Riga;;;01.04.2022;;08.04.2022;;;;EE76806;Lääne-Harju vald (Paldiski);;;02.04.2022;;09.04.2022;;Rigid truck, Articulated truck;Tautliner, Mega, Curtain;Side, Back,;;;;;340;13.6;;;;24;;;1;1;TIMO;;;;;01.04.2022 12:40:32
LV40103190484;310207;;;;;368.10;322.50;42.90;762.10;;288.40;;;LV3003;;;;01.04.2022;8:00;08.04.2022;15:00;;;HU6237;;;;05.04.2022;;13.04.2022;;Articulated truck;Tautliner, Curtain;Side, Back,;;peat on pallets;;;1750;13.6;;;;24;;;1;1;TIMO;;;;;01.04.2022 12:57:35
LV40003996558;394578;;;;;;;194.00;;58.80;;;;LV1007;;;;31.03.2022;;01.04.2022;;;;SE11153;;;;01.04.2022;;02.04.2022;;Rigid truck, Articulated truck;Curtain;Side, Back,;;;;;1700;13.6;;;;24;;-796.12;1;1;TIMO;;;;;31.03.2022 12:44:01
LT355849917;;;;;;;205.90;117.30;;;;;;LV5041;;;;01.04.2022;;01.04.2022;;;;LT91100;;;;02.04.2022;;02.04.2022;;Articulated truck;Tautliner, Curtain;Side, Back,;;;;;260;13.6;;;;24;;;1;1;TRANS;;;;;01.04.2022 08:41:00
LT100009574613;;;;;;;289.40;118.50;762.10;;271.20;;;LV4650;;;;01.04.2022;;01.04.2022;;;;SK98542;;;;08.04.2022;;08.04.2022;;Rigid truck, Articulated truck;Tautliner, Curtain;Side, Back,;;;;;1150;13.6;;;;24;;;1;1;TRANS;;;;;01.04.2022 12:32:00
